patientSurname,patientName,patientSecondSurname,patientDateOfBirthday,patientAddress,patientProfession,patientSex
1,Павлов,Лазарь,Архипович,1973-06-28,"п. Белоярский, пр. Высокий, д. 50, 440447",Менеджер,М
2,Колесникова,Аникита,Гаврилович,1957-01-22,"д. Чайковский, наб. Л.Толстого, д. 8/5 стр. 181, 2",Экспедитор,М
3,Сафонова,Ульян,Гертрудович,1967-03-11,"г. Шуя, алл. Красноармейская, д. 337 стр. 317, 836",Дипломат,Ж
4,Калинин,Павел,Архипович,2012-05-13,"клх Луга, ул. Калужская, д. 442, 284190",Ректор,Ж
5,Носков,Пахом,Борисович,1999-12-18,"г. Чайковский, бул. Мира, д. 29 стр. 193, 132655",Златокузнец,М
6,Мельников,Галина,Ждановна,1998-07-17,"ст. Усть-Джегута, ш. Троицкое, д. 3, 777252",Воспитатель,М
7,Цветкова,Ким,Аркадьевна,1957-10-19,"к. Борзя, пр. Песчаный, д. 366 к. 55, 817848",Няня,М
8,Белякова,Карп,Ануфриевич,1997-03-11,"п. Красноуральск, ш. 50 лет Октября, д. 26, 646211",Организатор свадеб,М
9,Дмитриев,Капитон,Елисеевич,2012-04-15,"д. Владивосток, ш. Журавлева, д. 14 к. 8, 694781",Астрофизик,М
10,Титов,Елизар,Ермолаевич,2004-12-13,"п. Билибино, пр. Стадионный, д. 428 стр. 6/1, 8514",Аналитик,М
11,Бирюков,Потап,Николаевна,1973-06-23,"г. Вязьма, пер. Мостовой, д. 2/4 стр. 6, 021841",Мастер педикюра,М
12,Волкова,Вячеслав,Ерофеевич,2022-06-19,"ст. Алексин, пер. Толстого, д. 9, 836479",Ракетчик,Ж
13,Евдокимов,Дмитрий,Викторовна,2013-12-25,"клх Шали, наб. Покровская, д. 85, 997478",Логик,Ж
14,Иванов,Арсений,Антонович,2003-04-19,"г. Витим, пер. 9 мая, д. 8/3 к. 4, 729619",Инженер-гальваник,Ж
15,Смирнов,Наум,Викторовна,1997-10-10,"д. Таганрог, пер. Проезжий, д. 1 к. 3/9, 344890",Радиотелефонист,Ж
16,Кудряшов,Леонид,Артурович,1993-03-11,"к. Вендинга, ш. Краснодарское, д. 988 к. 34, 90007",Гирудотерапевт,Ж
17,Кудряшова,Варвара,Федоровна,2002-04-04,"ст. Пенза, бул. Российский, д. 3/5, 220120",Диетолог,М
18,Сафонова,Владилен,Александровна,1943-01-12,"г. Тулпан, ул. Березовая, д. 60 стр. 8, 541372",Крановщик,М
19,Доронин,Эмиль,Анисимович,1988-07-22,"п. Благовещенск (Амур.), наб. Санаторная, д. 3 к. ",Энтомолог,Ж
20,Фролова,Евлампий,Никифоровна,1946-09-11,"клх Моршанск, бул. Ореховый, д. 54 к. 7/7, 206462",Социолог,Ж
21,Быкова,Ферапонт,Феодосьевич,1978-04-25,"п. Каргасок, пер. Ростовский, д. 1, 325679",Лётчик,Ж
22,Селиверстова,Любим,Венедиктович,1934-04-28,"клх Курганинск, алл. Дружбы, д. 30 стр. 9/1, 13156",Маркитант,М
23,Тарасов,Михей,Филипповна,1939-09-11,"ст. Льгов, пер. Дзержинского, д. 833 стр. 81, 5552",Комендант,М
24,Шаров,Митофан,Матвеевна,1947-08-13,"д. Мостовской, алл. Победа, д. 8/8 к. 48, 137879",Снабженец,Ж
25,Гришин,Ярослав,Юльевич,1968-08-12,"ст. Усть-Камчатск, наб. Донская, д. 2 к. 1, 222966",Кардиохирург,М
26,Сазонова,Милен,Афанасьевич,1965-09-26,"г. Льгов, наб. Маяковского, д. 24 стр. 97, 869221",Авиатехник,М
27,Кабанов,Прасковья,Ивановна,1923-11-19,"с. Киров (Вятка), наб. Победа, д. 4 к. 7/5, 266311",Военный судья,Ж
28,Блинов,Вероника,Сергеевна,2014-06-05,"п. Верхний Тагил, наб. Учительская, д. 9/8, 068704",Радист,Ж
29,Щербаков,Мина,Елизарович,2020-07-14,"г. Находка, бул. Краснопартизанский, д. 125 стр. 2",Оператор ПК,Ж
30,Игнатова,Савелий,Феофанович,1995-12-30,"клх Александровск-Сахалинский, ш. Киевское, д. 5 к",Секретчик,Ж
